model,decile,n,predicted,observed,lower,upper
Cox,1,80,0.4,0.492,0.376,0.599
Cox,2,79,0.591,0.485,0.368,0.592
Cox,3,79,0.667,0.66,0.542,0.754
Cox,4,79,0.719,0.65,0.529,0.747
Cox,5,80,0.764,0.773,0.659,0.852
Cox,6,79,0.802,0.791,0.682,0.867
Cox,7,79,0.838,0.86,0.761,0.92
Cox,8,79,0.867,0.876,0.776,0.934
Cox,9,79,0.899,0.86,0.761,0.92
Cox,10,80,0.933,0.938,0.856,0.973
RSF,1,80,0.538,0.518,0.4,0.623
RSF,2,79,0.61,0.656,0.536,0.751
RSF,3,79,0.656,0.625,0.507,0.723
RSF,4,79,0.7,0.611,0.49,0.711
RSF,5,80,0.747,0.675,0.558,0.768
RSF,6,79,0.787,0.753,0.636,0.837
RSF,7,79,0.823,0.83,0.725,0.898
RSF,8,79,0.855,0.897,0.805,0.947
RSF,9,79,0.88,0.873,0.776,0.929
RSF,10,80,0.912,0.95,0.871,0.981
DeepSurv,1,80,0.413,0.501,0.383,0.608
DeepSurv,2,79,0.582,0.6,0.482,0.699
DeepSurv,3,79,0.657,0.496,0.378,0.603
DeepSurv,4,79,0.71,0.683,0.564,0.775
DeepSurv,5,80,0.759,0.794,0.681,0.87
DeepSurv,6,79,0.801,0.831,0.726,0.898
DeepSurv,7,79,0.835,0.794,0.686,0.868
DeepSurv,8,79,0.865,0.858,0.759,0.919
DeepSurv,9,79,0.894,0.908,0.817,0.955
DeepSurv,10,80,0.926,0.925,0.841,0.966
Cox-Time,1,80,0.462,0.428,0.315,0.536
Cox-Time,2,79,0.59,0.622,0.504,0.72
Cox-Time,3,79,0.654,0.611,0.49,0.712
Cox-Time,4,79,0.702,0.604,0.484,0.705
Cox-Time,5,80,0.747,0.812,0.703,0.884
Cox-Time,6,79,0.792,0.841,0.736,0.906
Cox-Time,7,79,0.829,0.763,0.65,0.844
Cox-Time,8,79,0.86,0.873,0.777,0.929
Cox-Time,9,79,0.888,0.896,0.802,0.946
Cox-Time,10,80,0.922,0.938,0.856,0.973
