covariate,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
age_YEARS,1.0438,1.0382,1.0495,0.0
BUN_discharge,1.0213,1.0176,1.0249,0.0
sodium,0.9728,0.9627,0.9831,0.0
BNP,1.0002,1.0001,1.0002,0.0
delta_BUN,0.9903,0.9867,0.9938,0.0
RDW,1.1204,1.0903,1.1514,0.0
length_of_stay_DAYS,1.0094,1.0037,1.0151,0.0011
bilirubin,1.1208,1.0068,1.2477,0.0372
potassium,0.9141,0.8397,0.9951,0.0382
platelets,1.0004,0.9999,1.0009,0.1
creatinine_discharge,0.9376,0.8622,1.0195,0.1315
C(cat_comorbidities)[T.2-3],0.8885,0.7431,1.0624,0.1947
WBC,1.0028,0.9958,1.0098,0.4355
gender_0male_1female,0.9693,0.8732,1.0759,0.5576
GFR_discharge,1.001,0.9975,1.0045,0.5845
C(cat_comorbidities)[T.4+],0.9882,0.8243,1.1846,0.8976
