covariate,HR (train),lower 95%,upper 95%,p (train),HR (full),p (full),HR change %
age_YEARS,1.0447,1.0384,1.0511,0.0,1.0438,0.0,0.0847
BUN_discharge,1.0238,1.0197,1.0279,0.0,1.0213,0.0,0.2476
RDW,1.1295,1.0963,1.1638,0.0,1.1204,0.0,0.8157
delta_BUN,0.99,0.9861,0.994,0.0,0.9903,0.0,-0.0225
BNP,1.0002,1.0001,1.0002,0.0,1.0002,0.0,0.0001
sodium,0.9726,0.9611,0.9843,0.0,0.9728,0.0,-0.0236
length_of_stay_DAYS,1.0083,1.002,1.0146,0.01,1.0094,0.0011,-0.1081
bilirubin,1.0988,0.9738,1.24,0.1263,1.1208,0.0372,-1.9582
potassium,0.9196,0.8376,1.0096,0.0784,0.9141,0.0382,0.5936
platelets,1.0005,0.9998,1.0012,0.1471,1.0004,0.1,0.0059
creatinine_discharge,0.9172,0.8345,1.008,0.0728,0.9376,0.1315,-2.1773
C(cat_comorbidities)[T.2-3],0.8754,0.7181,1.0672,0.188,0.8885,0.1947,-1.4724
WBC,1.0001,0.9918,1.0085,0.9758,1.0028,0.4355,-0.2642
gender_0male_1female,0.9809,0.872,1.1035,0.7488,0.9693,0.5576,1.2047
GFR_discharge,1.0014,0.9975,1.0053,0.4918,1.001,0.5845,0.039
C(cat_comorbidities)[T.4+],0.9835,0.8046,1.2021,0.8708,0.9882,0.8976,-0.4749
