,statistic (train),p (train),statistic (full),p (full)
C(cat_comorbidities)[T.4+],5.3661,0.0205,2.7004,0.1003
C(cat_comorbidities)[T.2-3],5.06,0.0245,1.3876,0.2388
bilirubin,4.4517,0.0349,2.4538,0.1172
creatinine_discharge,3.1585,0.0755,2.7398,0.0979
BUN_discharge,2.4654,0.1164,4.3917,0.0361
length_of_stay_DAYS,2.2173,0.1365,3.9114,0.048
delta_BUN,2.1407,0.1434,0.6245,0.4294
gender_0male_1female,1.7093,0.1911,1.2686,0.26
GFR_discharge,1.0308,0.31,0.8278,0.3629
potassium,0.9632,0.3264,0.6007,0.4383
age_YEARS,0.452,0.5014,1.064,0.3023
sodium,0.2892,0.5907,1.6433,0.1999
WBC,0.2369,0.6265,0.1214,0.7276
BNP,0.2075,0.6488,0.087,0.768
platelets,0.0037,0.9513,0.2245,0.6357
RDW,0.0001,0.9913,0.0246,0.8754
